20,55,.,.,.,.,.,.,.,.,.,.,.
W40x55y40z,W40x55y40z,W40x55y40z,W40x55y40z,W40x55y40z,.,.,S140A60D,.,.,K,W40x55y40z,EXIT
.,.,.,K,W40x10y40z,OT1,.,.,.,.,.,W40x55y40z,.
.,.,A1,.,W40x25y40z,.,.,.,A2,.,.,W40x55y40z,.
.,.,.,.,W40x25y40z,.,.,.,.,.,.,W40x55y40z,.
.,.,.,A2,W40x25y40z,.,A2,.,.,.,A1,W40x55y40z,.
.,.,W40x55y40z,W40x55y40z,W40x25y40z,W40x25y40z,W40x25y40z,W40x25y40z,.,.,D,D,D
.,.,S180A45D,.,W40x10y40z,W40x55y40z,W40x25y40z,W40x55y40z,.,W40x55y40z,W40x55y40z,W40x55y40z,W40x55y40z
A2,.,.,.,.,W40x55y40z,W40x25y40z,.,.,.,.,S150A20D,.
.,.,.,.,.,W40x55y40z,.,.,.,.,.,.,.
W40x25y40z,.,.,.,.,W40x55y40z,A1,.,W40x55y40z,.,.,A2,.
W40x25y40z,W40x55y40z,.,A1,.,W40x55y40z,.,.,.,.,.,.,.
W40x25y40z,W40x55y40z,.,.,.,W40x55y40z,.,.,A2,.,.,.,.
W40x25y40z,W40x55y40z,.,.,.,W40x55y40z,W40x55y40z,W40x55y40z,.,.,W40x55y40z,.,.
W40x25y40z,.,K,OT2_3,.,W40x25y40z,W40x25y40z,W40x25y40z,.,W40x10y40z,W40x55y40z,.,.
W40x25y40z,W40x55y40z,W40x55y40z,W40x55y40z,W40x55y40z,W40x55y40z,W40x25y40z,W40x55y40z,.,W40x55y40z,K,W40x55y40z,W40x10y40z
W40x10y40z,.,.,.,.,W40x10y40z,W40x25y40z,W40x55y40z,.,W40x55y40z,.,W40x55y40z,W40x10y40z
W40x55y40z,W40x55y40z,W40x55y40z,.,.,W40x55y40z,W40x25y40z,W40x55y40z,.,.,.,.,.
SPAWN,.,.,.,S0A45D,W40x55y40z,W40x25y40z,W40x25y40z,.,A1,OT2_3,.,K
