20,90,.,.,.,.,.,W100x100y100z,EXIT,D10,D10,.,W100x70y100z,W100x70y100z,W100x70y100z,W100x70y100z,W100x70y100z,W100x70y100z
.,IW_SCALPLE,W100x100y100z,.,.,.,K,W100x100y100z,D10,W100x100y100z,.,.,W100x70y100z,W100x70y100z,W100x70y100z,W100x70y100z,W100x70y100z,W100x70y100z
SPAWN,.,W100x100y100z,.,.,A2,.,W100x100y100z,D10,W100x100y100z,.,.,W100x100y100z,.,.,.,W100x70y100z,W100x70y100z
.,.,W100x100y100z,.,.,.,.,W100x100y100z,.,.,.,.,W100x100y100z,A2,.,W100x10y100z,W100x70y100z,W100x70y100z
W100x100y100z,.,W100x70y100z,W100x10y100z,.,.,.,W100x100y100z,.,.,.,.,W100x100y100z,.,.,W100x20y100z,W100x70y100z,W100x70y100z
W100x100y100z,.,W100x70y100z,W100x20y100z,.,.,.,W100x100y100z,A1,.,.,.,W100x100y100z,.,.,W100x30y100z,W100x70y100z,W100x70y100z
W100x100y100z,W100x20y100z,W100x70y100z,W100x30y100z,.,.,.,W100x100y100z,.,.,.,.,W100x100y100z,.,.,W100x40y100z,W100x70y100z,W100x70y100z
W100x100y100z,W100x30y100z,W100x70y100z,W100x40y100z,.,.,.,W100x100y100z,.,.,.,A1,W100x100y100z,.,.,W100x50y100z,W100x70y100z,W100x70y100z
W100x100y100z,W100x40y100z,W100x70y100z,W100x50y100z,.,.,.,W100x100y100z,.,W100x100y100z,W100x100y100z,W100x100y100z,W100x100y100z,.,.,W100x60y100z,W100x70y100z,W100x70y100z
W100x100y100z,W100x50y100z,W100x70y100z,W100x60y100z,.,.,A1,W100x100y100z,.,.,.,.,.,.,.,W100x70y100z,W100x70y100z,W100x70y100z
W100x100y100z,W100x60y100z,W100x70y100z,W100x70y100z,.,D10,.,W100x100y100z,.,.,.,.,.,.,.,K,.,W100x70y100z
W100x100y100z,W100x70y100z,W100x70y100z,W100x70y100z,W100x100y100z,K,W100x100y100z,W100x100y100z,.,W100x70y100z,W100x70y100z,W100x70y100z,W100x70y100z,W100x70y100z,.,.,.,W100x70y100z
W100x100y100z,W100x70y100z,W100x70y100z,W100x70y100z,W100x100y100z,K,W100x100y100z,W100x100y100z,.,W100x70y100z,.,.,IW_M9,W100x70y100z,.,.,.,W100x70y100z
W100x100y100z,W100x70y100z,W100x70y100z,W100x70y100z,.,D10,.,K,.,W100x70y100z,.,.,.,W100x70y100z,.,.,A1,W100x70y100z
W100x100y100z,W100x70y100z,W100x70y100z,W100x70y100z,.,.,A2,.,.,W100x70y100z,.,.,.,W100x70y100z,.,.,.,W100x70y100z
W100x100y100z,W100x70y100z,W100x70y100z,W100x70y100z,A2,.,.,.,.,W100x70y100z,.,.,.,W100x70y100z,.,.,.,W100x70y100z
W100x100y100z,W100x70y100z,W100x70y100z,W100x70y100z,.,.,.,.,.,W100x70y100z,.,A1,.,,.,.,.,W100x70y100z
W100x100y100z,W100x70y100z,W100x70y100z,W100x70y100z,.,.,.,.,.,W100x70y100z,.,.,.,W100x70y100z,.,A1,.,W100x70y100z
W100x100y100z,W100x70y100z,W100x70y100z,W100x70y100z,.,.,.,A1,,W100x70y100z,.,.,.,W100x70y100z,.,.,.,W100x70y100z
W100x100y100z,W100x70y100z,W100x70y100z,W100x70y100z,W100x70y100z,W100x70y100z,W100x70y100z,W100x70y100z,W100x70y100z,W100x70y100z,W100x70y100z,W100x70y100z,W100x70y100z,W100x70y100z,.,.,.,W100x70y100z
